text_id,origin_type,title,original_title,author,translator,source_language,year,publisher,age_marker,genre,n_words
RUS-O-01,RUS-O,Автомобильчик,,Юлия Левданская,,Russian,2024,НИГМА,0+,prose,838
RUS-O-02,RUS-O,"Кораблик, который хотел летать",,Екатерина Филиппова,,Russian,2020,НИГМА,0+,prose,624
RUS-O-03,RUS-O,В сонном-сонном лесу…,,Ольга Хухлаева,,Russian,2020,Питер,0+,prose,5113
RUS-O-04,RUS-O,Добрая акула,,Елена Репетур,,Russian,2022,Альбус-корвус,0+,prose,396
RUS-O-05,RUS-O,Как лисичка у зайчика морковку воровала. История лесных зверей,,Алёна Хмельницкая,,Russian,2022,Альпина Паблишер,0+,prose,457
RUS-O-06,RUS-O,Лапин. Зима белого кролика,,Юлия Симбирская,,Russian,2021,"Манн, Иванов и Фербер",0+,prose,4865
RUS-O-07,RUS-O,"Обними меня! Сказка о том, как Обнимашка хотел спасти мир",,Анастасия Маркелова,,Russian,2023,Альпина Паблишер,0+,prose,1586
RUS-O-08,RUS-O,"Принц Филипп и добрый друг-шарик: Что делать, если потерял друга",,Максим Ильяхов,,Russian,2025,Альпина Паблишер,0+,prose,593
RUS-O-09,RUS-O,Принц Филипп и самая высокая ракета: Побеждаем страх неудачи,,Максим Ильяхов,,Russian,2025,Альпина Паблишер,0+,prose,781
RUS-O-10,RUS-O,Прицеп спасает грузовик,,Анастасия Орлова,,Russian,2024,РОСМЭН,0+,prose,2164
RUS-O-11,RUS-O,Новогодние сказки про Машу и Ойку,,Софья Прокофьева,,Russian,2021,АСТ,0+,prose,4239
RUS-O-12,RUS-O,Сказки доброты,,Жихарева Саша,,Russian,2020,АСТ,0+,prose,4839
RUS-O-13,RUS-O,Фасольки и друзья,,Ирина Лейк,,Russian,2026,Вимбо,0+,prose,5055
RUS-O-14,RUS-O,Верхом на облаке,,Александра Хворост,,Russian,2025,Феникс,0+,prose,596
RUS-O-15,RUS-O,Как непослушная мама сон потеряла,,Наталья Карпова,,Russian,2024,Феникс,0+,prose,601
RUS-O-16,RUS-O,"Жёлтый, Красный, Синий и другие",,Марина Аромштам,,Russian,2016,ВЕКТОР,0+,prose,440
RUS-O-17,RUS-O,Детский сад на колёсиках,,Зуля Стадник,,Russian,2023,Архипелаг,0+,prose,2296
RUS-O-18,RUS-O,Где водятся тракторозавры?,,Шевчук Игорь,,Russian,2022,Издательство «Детская и юношеская книга»,0+,prose,2809
RUS-O-19,RUS-O,Как же я люблю маму!,,Юлия Симбирская,,Russian,2025,Феникс,0+,prose,1812
RUS-O-20,RUS-O,Любимая семья лисёнка Елисея,,Анна Купырина,,Russian,2025,Феникс,0+,prose,3073
RUS-O-21,RUS-O,"Грузовик, прицеп и новогодняя елка",,Анастасия Орлова,,Russian,2018,РОСМЭН,0+,prose,1384
RUS-O-22,RUS-O,Едет мамин человечек,,Мария Рупасова,,Russian,2017,АСТ,0+,verse,886
RUS-O-23,RUS-O,Енотик находит друзей,,Ирина Зартайская,,Russian,2019,Феникс,0+,prose,3357
RUS-O-24,RUS-O,Мой любимый папочка,,"Буланова Софья Александровна, Николаева Тамара, Благов Владимир Иванович",,Russian,2021,Стрекоза,0+,prose,4916
RUS-O-25,RUS-O,Мой папа самый лучший,,Ирина Зартайская,,Russian,2019,ОНИКС-ЛИТ,0+,prose,961
RUS-O-26,RUS-O,Пони Фиалка и волшебный колодец Сказка о доброте,,Анастасия Алешичева,,Russian,2015,Фактор,0+,prose,1460
RUS-O-27,RUS-O,Подарок для мышки,,Ирина Зартайская,,Russian,2022,НИГМА,0+,prose,529
RUS-O-28,RUS-O,Лисья сказка,,Дарья Герасимова,,Russian,2019,АСТ,0+,verse,1307
RUS-O-29,RUS-O,Приключения снегиря в Африке. Полезные сказки.,,"Кретова Кристина, Волкова Мария",,Russian,2020,Питер,0+,prose,640
RUS-O-30,RUS-O,Ашуни. Сказка с рябиновой ветки,,Екатерина Панфилова,,Russian,2018,Молодая мама,0+,prose,604
RUS-O-31,RUS-O,Весёлый пожарный,,Ирина Зартайская,,Russian,2017,НИГМА,0+,prose,554
RUS-O-32,RUS-O,Оркестр маленьких жучков,,Света Бень,,Russian,2018,Молодая мама,0+,verse,188
RUS-O-33,RUS-O,Поросенок Петр и сказочная башня,,Петрушевская Людмила Стефановна,,Russian,2020,РОСМЭН,0+,prose,570
RUS-O-34,RUS-O,Сказки Маленького Лисёнка,,Игорь Фарбаржевич,,Russian,2019,"Акварель, ООО «Книжная лаборатория»",0+,prose,3137
RUS-O-35,RUS-O,Приключения Джипчика,,Игорь Карде,,Russian,2017,Априори-пресс,0+,prose,2675
RUS-O-36,RUS-O,Рыжая долина,,Екатерина Андреевская,,Russian,2022,АСТ,0+,prose,669
RUS-O-37,RUS-O,Чай с росой и земляникой,,Галина Мальцева,,Russian,2023,Издательство «Детская и юношеская книга»,0+,prose,2251
RUS-O-38,RUS-O,"Лосёнок Вася, медвежонок Потап и Великая Сосна",,Светлана Макарьина,,Russian,2024,ПРОФДЕТЛИТ,0+,prose,1978
RUS-O-39,RUS-O,Би! Бо! Бу! Сонная история,,Островерхова Диана,,Russian,2020,РОСМЭН,0+,prose,1639
RUS-O-40,RUS-O,Самый счастливый дом,,Елена Фельдман,,Russian,2024,CLEVER,0+,prose,727
RUS-O-41,RUS-O,Маленькая лесная сказка,,Наталья Максимова,,Russian,2016,«Издательский центр «Москвоведение»,0+,prose,1182
RUS-O-42,RUS-O,Болтливая сорока,,Евгений Чарушин,,Russian,2018,Детское время,0+,prose,637
RUS-O-43,RUS-O,Детский сад на колёсиках. Средняя группа,,Зуля Стадник,,Russian,2022,Архипелаг,0+,prose,3143
RUS-O-44,RUS-O,Клубок в рыжую крапинку. Сказка из магазина шерсти,,Ольга Сафронова,,Russian,2021,НИГМА,0+,prose,836
RUS-O-45,RUS-O,Когда твоя мама волшебница,,Ремиш Наталья,,Russian,2024,"Манн, Иванов и Фербер",0+,prose,3612
RUS-O-46,RUS-O,Клубника бегает трусцой,,Ирина Козлова,,Russian,2022,Де'Либри,0+,prose,11461
RUS-O-47,RUS-O,На что ловятся котофеечки,,"Рина Зенюк, Игорь Шевчук",,Russian,2024,Детская литература,0+,prose,1225
RUS-O-48,RUS-O,Софи и малыш. Второй ребёнок в семье,,Татьяна Григорьян,,Russian,2021,Стрекоза,0+,prose,4830
RUS-O-49,RUS-O,Тропинки Никиты,,Наталья Евдокимова,,Russian,2020,Книжный дом Анастасии Орловой,0+,prose,942
RUS-O-50,RUS-O,Уважаемая фея,,Марина Яковлевна Бородицкая,,Russian,2025,Издательство «Абрикос»,0+,verse,1872
RUS-T-01,RUS-T,Когда я злюсь,Wenn ich wütend bin,Нанна Несхёфер,Мария Белова,German,2019,Альпина Паблишер,0+,prose,682
RUS-T-02,RUS-T,Мышонок Тим едет к бабушке : сказка,Topo Tip non vuole dormire dai nonni,Анна Казалис,Мария Мельниченко,Italian,2020,РОСМЭН,0+,prose,443
