text_id,origin_type,pages,n_chars,n_chars_no_spaces,n_words,n_unique_words,n_sentences,n_syllables,n_lex_words,n_lex_unique,avg_word_len,med_word_len,avg_syllables,n_monosyllabic,n_polysyllabic,fog_index,avg_sent_words,avg_sent_chars,med_sent_len,min_sent_len,max_sent_len,n_short_sents,n_long_sents,ttr,sttr,hapax_count,hapax_ratio,hapax_dis_ratio,yule_k,simpson_d,shannon_h,top1000_ratio,flesch_ru,flesch_kincaid,smog,coleman_liau,ari,avg_tree_depth,max_tree_depth,avg_dependents,predicate_coord_ratio,coord_any_ratio,sent_initial_conj_ratio,active_voice_ratio,passive_voice_ratio,past_tense_ratio,present_tense_ratio,future_tense_ratio,imperative_ratio,personal_pron_ratio,animate_noun_ratio,punct_dot_ratio,punct_comma_ratio,punct_excl_ratio,punct_quest_ratio,punct_ellipsis_ratio,punct_semicolon_ratio,punct_colon_ratio,punct_dash_ratio,punct_hyphen_ratio,punct_quote_open_ratio,punct_quote_close_ratio,punct_diversity,quest_sent_ratio,excl_sent_ratio,pos_adj_ratio,pos_propn_ratio,pos_adv_ratio,pos_verb_ratio,pos_adp_ratio,pos_noun_ratio,pos_sconj_ratio,pos_pron_ratio,pos_part_ratio,pos_cconj_ratio,pos_det_ratio,pos_aux_ratio,pos_num_ratio,pos_intj_ratio,pos_x_ratio
RUS-O-01,RUS-O,40,5837,4991,838,524,83,1832,461,305,5.548,5.0,2.186,308,290,17.881,10.096,69.337,10.0,1,26,15,2,0.6616,0.6616,231,0.5011,0.0933,153.9371,0.0138,7.8548,0.3556,11.652,14.142,13.238,16.289,11.67,4.221,9,0.91,0.376623,0.623,0.051948,0.7543,0.0514,0.6514,0.1657,0.0457,0.0114,0.0,0.2009,0.0835,0.1062,0.0251,0.0131,0.0,0.0,0.0048,0.0537,0.0084,0.0012,0.0012,0.818,0.1325,0.253,0.0763,0.0399,0.1021,0.2054,0.0986,0.2171,0.0164,0.081,0.0434,0.0657,0.0282,0.0211,0.0047,0.0,0.0
RUS-O-02,RUS-O,40,4152,3510,624,382,59,1283,364,221,5.208,5.0,2.056,241,202,17.179,10.576,69.051,11.0,2,22,12,3,0.6071,0.6071,170,0.467,0.0769,261.8702,0.0234,7.2752,0.3558,22.163,12.795,13.135,14.476,10.352,4.254,7,0.901,0.423729,0.729,0.118644,0.8361,0.0164,0.6311,0.1721,0.0,0.0246,0.0,0.3552,0.0769,0.0994,0.0176,0.0032,0.0,0.0,0.0064,0.0192,0.0112,0.0,0.0,0.636,0.0339,0.1864,0.0912,0.0802,0.0865,0.1918,0.1038,0.2075,0.0189,0.0566,0.044,0.0786,0.0283,0.0079,0.0047,0.0,0.0
RUS-O-03,RUS-O,61,32765,27308,5113,2242,597,10006,2747,1254,4.889,5.0,1.957,2092,1391,14.308,8.564,53.469,8.0,1,27,161,12,0.4565,0.5947,800,0.2912,0.067,89.0102,0.008,9.677,0.3681,32.58,10.843,11.361,12.148,8.008,3.855,9,0.894,0.266551,0.57,0.203833,0.7646,0.0235,0.5763,0.1742,0.0499,0.0207,0.0,0.3826,0.108,0.0945,0.0076,0.0074,0.0,0.0,0.0051,0.0,0.0135,0.0008,0.0008,0.727,0.0637,0.0653,0.0726,0.0272,0.1069,0.2023,0.0945,0.2137,0.0217,0.0994,0.0438,0.0705,0.029,0.0112,0.0063,0.001,0.0
RUS-O-04,RUS-O,25,2631,2212,396,270,44,799,208,155,4.975,5.0,2.018,156,116,15.317,9.0,58.386,8.0,2,24,9,1,0.7452,0.7452,133,0.6394,0.0577,202.7055,0.0182,6.9139,0.404,26.977,11.732,11.893,13.756,9.379,4.262,7,0.904,0.238095,0.619,0.238095,0.7654,0.0123,0.6173,0.1358,0.0494,0.0247,0.0,0.5165,0.0884,0.0833,0.0227,0.0025,0.0,0.0,0.0126,0.0303,0.0303,0.0152,0.0152,0.818,0.0227,0.2045,0.0929,0.0071,0.1048,0.1929,0.081,0.2095,0.0333,0.1048,0.0548,0.0738,0.0286,0.0119,0.0048,0.0,0.0
RUS-O-05,RUS-O,33,2843,2376,457,286,39,872,230,154,4.805,5.0,1.908,191,115,14.753,11.718,71.333,11.0,4,35,6,5,0.6696,0.6696,120,0.5217,0.087,209.1415,0.0178,6.9095,0.4114,33.524,11.494,12.405,12.245,8.917,4.342,10,0.915,0.447368,0.789,0.263158,0.809,0.0,0.6517,0.0787,0.0449,0.0112,0.0,0.2981,0.0744,0.0919,0.0131,0.0022,0.0,0.0,0.0,0.0088,0.0153,0.0022,0.0022,0.727,0.0256,0.1538,0.0809,0.0489,0.0851,0.1894,0.0915,0.1723,0.034,0.1085,0.0447,0.0872,0.0298,0.0149,0.0128,0.0,0.0
RUS-O-06,RUS-O,88,32765,27764,4865,2314,538,10069,2968,1393,5.238,5.0,2.07,1687,1472,15.72,9.043,59.903,8.0,0,34,183,34,0.4693,0.6021,878,0.2958,0.0906,157.041,0.0149,9.6691,0.3418,22.534,12.363,12.06,14.483,9.971,4.243,9,0.895,0.279545,0.532,0.088636,0.7405,0.0273,0.5221,0.209,0.0714,0.0263,0.0,0.273,0.0904,0.0962,0.0218,0.0123,0.0,0.0002,0.0041,0.0806,0.0092,0.0035,0.0035,0.909,0.1115,0.197,0.0963,0.0364,0.0787,0.1926,0.0971,0.2778,0.0275,0.0653,0.0362,0.0564,0.0198,0.0101,0.0042,0.0014,0.0
RUS-O-07,RUS-O,57,10366,8618,1586,815,181,3070,833,451,4.941,5.0,1.936,684,425,14.224,8.762,55.779,8.0,1,42,57,11,0.5414,0.5414,309,0.3709,0.0936,154.9648,0.0136,8.2963,0.3871,34.156,10.672,11.393,12.773,8.544,3.943,10,0.895,0.265823,0.538,0.170886,0.8042,0.012,0.6114,0.1958,0.0422,0.0151,0.0,0.2799,0.0889,0.1173,0.0277,0.0132,0.0076,0.0,0.0044,0.0939,0.0088,0.0013,0.0013,0.909,0.116,0.2431,0.0836,0.0316,0.0998,0.2057,0.0849,0.1964,0.0279,0.1084,0.0465,0.0669,0.0335,0.0074,0.0056,0.0019,0.0
RUS-O-08,RUS-O,31,3864,3246,593,358,72,1150,339,207,5.03,5.0,1.939,230,156,13.817,8.236,52.194,7.0,1,24,24,1,0.6106,0.6106,167,0.4926,0.059,377.1383,0.0348,7.0611,0.3761,34.436,10.502,11.062,12.792,8.47,3.912,7,0.894,0.323529,0.529,0.088235,0.7557,0.0,0.6794,0.084,0.0382,0.0153,0.0,0.4494,0.0927,0.0826,0.0337,0.0034,0.0034,0.0,0.0051,0.0304,0.0135,0.0084,0.0084,0.909,0.0278,0.2778,0.0805,0.0476,0.0936,0.2151,0.0952,0.2118,0.0213,0.1067,0.0279,0.0657,0.0213,0.0082,0.0049,0.0,0.0
RUS-O-09,RUS-O,32,5010,4195,781,450,83,1533,411,245,4.981,5.0,1.963,302,205,14.263,9.41,58.94,9.0,1,27,11,1,0.5961,0.5961,180,0.438,0.0973,294.2107,0.0268,7.3762,0.3969,31.214,11.243,11.608,12.638,8.574,4.026,6,0.908,0.315789,0.632,0.171053,0.7279,0.0272,0.6531,0.102,0.0204,0.0204,0.0,0.3827,0.0781,0.0948,0.0256,0.009,0.0,0.0,0.0115,0.0371,0.0077,0.0077,0.0077,0.818,0.0843,0.241,0.082,0.0404,0.1135,0.1854,0.0858,0.2068,0.0214,0.0971,0.0479,0.0719,0.0252,0.0177,0.0038,0.0013,0.0
RUS-O-10,RUS-O,49,15390,12882,2164,984,452,4432,1290,598,5.077,5.0,2.048,818,688,14.632,4.788,32.52,4.0,0,24,307,2,0.4636,0.5622,421,0.3264,0.0597,504.5805,0.0486,8.2285,0.3415,28.714,10.444,9.757,13.02,9.002,3.366,10,0.84,0.108586,0.371,0.161616,0.802,0.0245,0.3776,0.3551,0.0939,0.0816,0.0,0.1404,0.1335,0.0628,0.0665,0.0314,0.0106,0.0,0.0083,0.1317,0.0,0.0014,0.0014,0.818,0.1504,0.3164,0.0649,0.0679,0.0696,0.2106,0.0847,0.2505,0.0155,0.0997,0.0447,0.0623,0.0163,0.0021,0.0056,0.0056,0.0
